city,year,value
Camden,2015,2
Louisville,2015,3
Minneapolis,2015,1
New York,2015,1
Phoenix,2015,8
Portland,2015,3
Camden,2016,0
Louisville,2016,2
Minneapolis,2016,1
New York,2016,6
Phoenix,2016,15
Portland,2016,1
Camden,2017,1
Louisville,2017,2
Minneapolis,2017,1
New York,2017,4
Phoenix,2017,12
Portland,2017,2
Camden,2018,0
Louisville,2018,8
Minneapolis,2018,2
New York,2018,1
Phoenix,2018,24
Portland,2018,4
Camden,2019,0
Louisville,2019,4
Minneapolis,2019,2
New York,2019,11
Phoenix,2019,12
Portland,2019,6
Camden,2020,0
Louisville,2020,4
Minneapolis,2020,0
New York,2020,2
Phoenix,2020,5
Portland,2020,2